categoria_produto,localidade_estado,quantidade_vendas
agro_industria_e_comercio,AL,82
agro_industria_e_comercio,AP,73
agro_industria_e_comercio,BA,590
agro_industria_e_comercio,CE,500
agro_industria_e_comercio,ES,673
agro_industria_e_comercio,GO,215
agro_industria_e_comercio,MA,7
agro_industria_e_comercio,MG,6213
agro_industria_e_comercio,MS,427
agro_industria_e_comercio,MT,362
agro_industria_e_comercio,PA,37
agro_industria_e_comercio,PB,104
agro_industria_e_comercio,PE,214
agro_industria_e_comercio,PI,33
agro_industria_e_comercio,PR,1285
agro_industria_e_comercio,RJ,6101
agro_industria_e_comercio,RO,384
agro_industria_e_comercio,RS,1003
agro_industria_e_comercio,SC,669
agro_industria_e_comercio,SP,13694
alimentos,AL,469
alimentos,AM,33
alimentos,BA,1369
alimentos,CE,122
alimentos,DF,521
alimentos,ES,3001
alimentos,GO,417
alimentos,MG,10165
alimentos,MS,446
alimentos,MT,1651
alimentos,PB,114
alimentos,PE,430
alimentos,PI,221
alimentos,PR,3732
alimentos,RJ,9628
alimentos,RN,43
alimentos,RO,192
alimentos,RS,1327
alimentos,SC,2010
alimentos,SE,176
alimentos,SP,35462
alimentos_bebidas,AL,82
alimentos_bebidas,BA,1370
alimentos_bebidas,CE,381
alimentos_bebidas,DF,387
alimentos_bebidas,ES,982
alimentos_bebidas,MA,295
alimentos_bebidas,MG,4956
alimentos_bebidas,MS,48
alimentos_bebidas,PA,133
alimentos_bebidas,PE,331
alimentos_bebidas,PI,34
alimentos_bebidas,PR,1489
alimentos_bebidas,RJ,10957
alimentos_bebidas,RN,183
alimentos_bebidas,RS,1232
alimentos_bebidas,SC,324
alimentos_bebidas,SE,176
alimentos_bebidas,SP,14637
artes,AM,42
artes,AP,116
artes,BA,1319
artes,DF,246
artes,ES,55
artes,GO,163
artes,MG,3345
artes,MS,45
artes,MT,10
artes,PA,100
artes,PB,72
artes,PE,79
artes,PI,74
artes,PR,890
artes,RJ,7025
artes,RN,96
artes,RO,235
artes,RS,1927
artes,SC,1243
artes,SP,16104
artes_e_artesanato,DF,89
artes_e_artesanato,MG,1886
artes_e_artesanato,SC,127
artes_e_artesanato,SP,2321
artigos_de_festas,DF,36
artigos_de_festas,ES,283
artigos_de_festas,GO,102
artigos_de_festas,MG,1272
artigos_de_festas,PI,33
artigos_de_festas,PR,215
artigos_de_festas,RJ,799
artigos_de_festas,RS,897
artigos_de_festas,SC,270
artigos_de_festas,SP,3046
artigos_de_natal,AC,107
artigos_de_natal,BA,1195
artigos_de_natal,CE,53
artigos_de_natal,DF,239
artigos_de_natal,ES,83
artigos_de_natal,GO,79
artigos_de_natal,MA,87
artigos_de_natal,MG,4000
artigos_de_natal,MS,104
artigos_de_natal,MT,106
artigos_de_natal,PA,426
artigos_de_natal,PE,226
artigos_de_natal,PR,460
artigos_de_natal,RJ,3906
artigos_de_natal,RN,1
artigos_de_natal,RO,72
artigos_de_natal,RS,796
artigos_de_natal,SC,1555
artigos_de_natal,SP,5812
audio,AC,2
audio,AL,232
audio,AM,27
audio,BA,1818
audio,CE,337
audio,DF,639
audio,ES,3100
audio,GO,370
audio,MA,63
audio,MG,6316
audio,MS,109
audio,MT,227
audio,PA,11
audio,PB,39
audio,PE,194
audio,PI,116
audio,PR,2458
audio,RJ,12433
audio,RN,48
audio,RS,2133
audio,SC,1599
audio,SP,18571
audio,TO,134
automotivo,AC,421
automotivo,AL,1809
automotivo,AM,324
automotivo,AP,305
automotivo,BA,16307
automotivo,CE,2528
automotivo,DF,4416
automotivo,ES,11700
automotivo,GO,5536
automotivo,MA,2699
automotivo,MG,109342
automotivo,MS,2363
automotivo,MT,7122
automotivo,PA,5239
automotivo,PB,938
automotivo,PE,4862
automotivo,PI,1377
automotivo,PR,24764
automotivo,RJ,92740
automotivo,RN,775
automotivo,RO,759
automotivo,RR,27
automotivo,RS,24203
automotivo,SC,26956
automotivo,SE,1713
automotivo,SP,227542
automotivo,TO,1018
bebes,AC,131
bebes,AL,202
bebes,AM,153
bebes,BA,12960
bebes,CE,1647
bebes,DF,3085
bebes,ES,8285
bebes,GO,3474
bebes,MA,1860
bebes,MG,101144
bebes,MS,2794
bebes,MT,4615
bebes,PA,3443
bebes,PB,610
bebes,PE,2647
bebes,PI,854
bebes,PR,18530
bebes,RJ,93788
bebes,RN,654
bebes,RO,1185
bebes,RR,114
bebes,RS,31002
bebes,SC,13630
bebes,SE,412
bebes,SP,170505
bebes,TO,652
bebidas,AL,26
bebidas,AM,52
bebidas,BA,1095
bebidas,CE,111
bebidas,DF,213
bebidas,ES,739
bebidas,GO,363
bebidas,MG,8160
bebidas,MS,237
bebidas,MT,91
bebidas,PA,21
bebidas,PI,121
bebidas,PR,1868
bebidas,RJ,16604
bebidas,RS,2100
bebidas,SC,2348
bebidas,SP,28202
beleza_saude,AC,632
beleza_saude,AL,3508
beleza_saude,AM,650
beleza_saude,AP,742
beleza_saude,BA,38885
beleza_saude,CE,7595
beleza_saude,DF,10969
beleza_saude,ES,24559
beleza_saude,GO,14616
beleza_saude,MA,5167
beleza_saude,MG,276409
beleza_saude,MS,4893
beleza_saude,MT,12247
beleza_saude,PA,8222
beleza_saude,PB,3450
beleza_saude,PE,15922
beleza_saude,PI,2637
beleza_saude,PR,55487
beleza_saude,RJ,245576
beleza_saude,RN,2430
beleza_saude,RO,1861
beleza_saude,RR,376
beleza_saude,RS,63360
beleza_saude,SC,43897
beleza_saude,SE,2787
beleza_saude,SP,551155
beleza_saude,TO,2173
brinquedos,AC,493
brinquedos,AL,835
brinquedos,AM,170
brinquedos,AP,152
brinquedos,BA,13382
brinquedos,CE,3095
brinquedos,DF,4425
brinquedos,ES,15697
brinquedos,GO,5589
brinquedos,MA,2122
brinquedos,MG,123792
brinquedos,MS,2897
brinquedos,MT,6351
brinquedos,PA,1981
brinquedos,PB,944
brinquedos,PE,4010
brinquedos,PI,2122
brinquedos,PR,27046
brinquedos,RJ,147892
brinquedos,RN,1246
brinquedos,RO,1402
brinquedos,RS,28899
brinquedos,SC,16700
brinquedos,SE,693
brinquedos,SP,235138
brinquedos,TO,755
cama_mesa_banho,AC,90
cama_mesa_banho,AL,2132
cama_mesa_banho,AM,308
cama_mesa_banho,AP,270
cama_mesa_banho,BA,34301
cama_mesa_banho,CE,4323
cama_mesa_banho,DF,9949
cama_mesa_banho,ES,35885
cama_mesa_banho,GO,17654
cama_mesa_banho,MA,2564
cama_mesa_banho,MG,325051
cama_mesa_banho,MS,6053
cama_mesa_banho,MT,7725
cama_mesa_banho,PA,2786
cama_mesa_banho,PB,1374
cama_mesa_banho,PE,6157
cama_mesa_banho,PI,2245
cama_mesa_banho,PR,57257
cama_mesa_banho,RJ,376588
cama_mesa_banho,RN,1322
cama_mesa_banho,RO,873
cama_mesa_banho,RR,136
cama_mesa_banho,RS,93162
cama_mesa_banho,SC,50791
cama_mesa_banho,SE,1088
cama_mesa_banho,SP,712217
cama_mesa_banho,TO,433
casa_conforto,AC,1
casa_conforto,AL,9
casa_conforto,BA,1072
casa_conforto,CE,74
casa_conforto,DF,557
casa_conforto,ES,1374
casa_conforto,GO,557
casa_conforto,MA,44
casa_conforto,MG,15689
casa_conforto,MS,274
casa_conforto,MT,542
casa_conforto,PB,68
casa_conforto,PE,248
casa_conforto,PI,87
casa_conforto,PR,1374
casa_conforto,RJ,13477
casa_conforto,RN,87
casa_conforto,RO,117
casa_conforto,RS,2464
casa_conforto,SC,1205
casa_conforto,SE,158
casa_conforto,SP,27466
casa_conforto,TO,59
casa_conforto_2,BA,45
casa_conforto_2,ES,56
casa_conforto_2,GO,462
casa_conforto_2,MG,667
casa_conforto_2,PR,36
casa_conforto_2,RJ,722
casa_conforto_2,RS,341
casa_conforto_2,SP,2268
casa_construcao,AL,167
casa_construcao,AM,211
casa_construcao,BA,2674
casa_construcao,CE,584
casa_construcao,DF,207
casa_construcao,ES,1339
casa_construcao,GO,792
casa_construcao,MA,268
casa_construcao,MG,18761
casa_construcao,MS,808
casa_construcao,MT,1334
casa_construcao,PA,62
casa_construcao,PB,490
casa_construcao,PE,317
casa_construcao,PI,153
casa_construcao,PR,3151
casa_construcao,RJ,21207
casa_construcao,RN,19
casa_construcao,RS,7154
casa_construcao,SC,3722
casa_construcao,SE,267
casa_construcao,SP,39272
casa_construcao,TO,42
cds_dvds_musicais,MA,82
cds_dvds_musicais,RJ,364
cds_dvds_musicais,RS,538
cds_dvds_musicais,SP,429
cine_foto,BA,119
cine_foto,DF,24
cine_foto,ES,119
cine_foto,GO,40
cine_foto,MA,249
cine_foto,MG,1993
cine_foto,MT,75
cine_foto,PA,128
cine_foto,PE,107
cine_foto,PR,307
cine_foto,RJ,1823
cine_foto,RS,3224
cine_foto,SC,186
cine_foto,SP,3179
climatizacao,AL,52
climatizacao,AM,37
climatizacao,BA,964
climatizacao,CE,61
climatizacao,DF,180
climatizacao,ES,1054
climatizacao,GO,265
climatizacao,MA,82
climatizacao,MG,6091
climatizacao,MT,420
climatizacao,PB,36
climatizacao,PE,112
climatizacao,PI,311
climatizacao,PR,932
climatizacao,RJ,16336
climatizacao,RS,2267
climatizacao,SC,1244
climatizacao,SP,19450
consoles_games,AC,164
consoles_games,AL,333
consoles_games,AM,86
consoles_games,AP,6
consoles_games,BA,3888
consoles_games,CE,715
consoles_games,DF,878
consoles_games,ES,3226
consoles_games,GO,1334
consoles_games,MA,581
consoles_games,MG,34868
consoles_games,MS,327
consoles_games,MT,1357
consoles_games,PA,796
consoles_games,PB,227
consoles_games,PE,1382
consoles_games,PI,612
consoles_games,PR,6256
consoles_games,RJ,32808
consoles_games,RN,359
consoles_games,RO,141
consoles_games,RS,10253
consoles_games,SC,3264
consoles_games,SE,352
consoles_games,SP,66115
consoles_games,TO,187
construcao_ferramentas_construcao,AL,104
construcao_ferramentas_construcao,BA,3790
construcao_ferramentas_construcao,CE,711
construcao_ferramentas_construcao,DF,207
construcao_ferramentas_construcao,ES,2303
construcao_ferramentas_construcao,GO,1087
construcao_ferramentas_construcao,MA,249
construcao_ferramentas_construcao,MG,25420
construcao_ferramentas_construcao,MS,1013
construcao_ferramentas_construcao,MT,868
construcao_ferramentas_construcao,PA,274
construcao_ferramentas_construcao,PB,35
construcao_ferramentas_construcao,PE,1711
construcao_ferramentas_construcao,PI,32
construcao_ferramentas_construcao,PR,5695
construcao_ferramentas_construcao,RJ,23107
construcao_ferramentas_construcao,RN,493
construcao_ferramentas_construcao,RO,558
construcao_ferramentas_construcao,RS,7287
construcao_ferramentas_construcao,SC,4459
construcao_ferramentas_construcao,SE,61
construcao_ferramentas_construcao,SP,56911
construcao_ferramentas_ferramentas,BA,666
construcao_ferramentas_ferramentas,CE,24
construcao_ferramentas_ferramentas,ES,345
construcao_ferramentas_ferramentas,GO,151
construcao_ferramentas_ferramentas,MG,3477
construcao_ferramentas_ferramentas,MS,135
construcao_ferramentas_ferramentas,MT,190
construcao_ferramentas_ferramentas,PA,95
construcao_ferramentas_ferramentas,PB,46
construcao_ferramentas_ferramentas,PE,124
construcao_ferramentas_ferramentas,PR,1012
construcao_ferramentas_ferramentas,RJ,1445
construcao_ferramentas_ferramentas,RS,1174
construcao_ferramentas_ferramentas,SC,530
construcao_ferramentas_ferramentas,SP,4468
construcao_ferramentas_iluminacao,BA,416
construcao_ferramentas_iluminacao,CE,89
construcao_ferramentas_iluminacao,DF,175
construcao_ferramentas_iluminacao,ES,2967
construcao_ferramentas_iluminacao,GO,265
construcao_ferramentas_iluminacao,MA,62
construcao_ferramentas_iluminacao,MG,10362
construcao_ferramentas_iluminacao,MS,781
construcao_ferramentas_iluminacao,MT,376
construcao_ferramentas_iluminacao,PA,49
construcao_ferramentas_iluminacao,PE,308
construcao_ferramentas_iluminacao,PI,45
construcao_ferramentas_iluminacao,PR,1548
construcao_ferramentas_iluminacao,RJ,4902
construcao_ferramentas_iluminacao,RS,4031
construcao_ferramentas_iluminacao,SC,2552
construcao_ferramentas_iluminacao,SE,77
construcao_ferramentas_iluminacao,SP,21647
construcao_ferramentas_iluminacao,TO,102
construcao_ferramentas_jardim,AM,86
construcao_ferramentas_jardim,BA,1047
construcao_ferramentas_jardim,CE,644
construcao_ferramentas_jardim,DF,197
construcao_ferramentas_jardim,ES,640
construcao_ferramentas_jardim,GO,165
construcao_ferramentas_jardim,MG,6490
construcao_ferramentas_jardim,MS,132
construcao_ferramentas_jardim,PA,43
construcao_ferramentas_jardim,PB,46
construcao_ferramentas_jardim,PE,497
construcao_ferramentas_jardim,PI,308
construcao_ferramentas_jardim,PR,765
construcao_ferramentas_jardim,RJ,12411
construcao_ferramentas_jardim,RN,210
construcao_ferramentas_jardim,RO,210
construcao_ferramentas_jardim,RS,1062
construcao_ferramentas_jardim,SC,389
construcao_ferramentas_jardim,SP,12305
construcao_ferramentas_seguranca,BA,452
construcao_ferramentas_seguranca,CE,243
construcao_ferramentas_seguranca,DF,97
construcao_ferramentas_seguranca,GO,314
construcao_ferramentas_seguranca,MG,7260
construcao_ferramentas_seguranca,MS,86
construcao_ferramentas_seguranca,MT,521
construcao_ferramentas_seguranca,PB,303
construcao_ferramentas_seguranca,PE,101
construcao_ferramentas_seguranca,PR,946
construcao_ferramentas_seguranca,RJ,5004
construcao_ferramentas_seguranca,RN,13
construcao_ferramentas_seguranca,RO,14
construcao_ferramentas_seguranca,RS,1207
construcao_ferramentas_seguranca,SC,1750
construcao_ferramentas_seguranca,SE,11
construcao_ferramentas_seguranca,SP,8231
cool_stuff,AC,165
cool_stuff,AL,1124
cool_stuff,AM,130
cool_stuff,AP,47
cool_stuff,BA,16323
cool_stuff,CE,2300
cool_stuff,DF,3205
cool_stuff,ES,10343
cool_stuff,GO,6605
cool_stuff,MA,2339
cool_stuff,MG,110729
cool_stuff,MS,2509
cool_stuff,MT,6629
cool_stuff,PA,3926
cool_stuff,PB,1085
cool_stuff,PE,4953
cool_stuff,PI,854
cool_stuff,PR,27834
cool_stuff,RJ,104826
cool_stuff,RN,669
cool_stuff,RO,1056
cool_stuff,RR,78
cool_stuff,RS,35681
cool_stuff,SC,24556
cool_stuff,SE,966
cool_stuff,SP,182934
cool_stuff,TO,975
dvds_blu_ray,AL,110
dvds_blu_ray,DF,148
dvds_blu_ray,GO,34
dvds_blu_ray,MG,842
dvds_blu_ray,MS,567
dvds_blu_ray,PE,179
dvds_blu_ray,PI,76
dvds_blu_ray,PR,44
dvds_blu_ray,RJ,3622
dvds_blu_ray,RN,26
dvds_blu_ray,RO,124
dvds_blu_ray,RS,470
dvds_blu_ray,SC,292
dvds_blu_ray,SP,3304
eletrodomesticos,AL,218
eletrodomesticos,AM,55
eletrodomesticos,BA,3650
eletrodomesticos,CE,213
eletrodomesticos,DF,528
eletrodomesticos,ES,2514
eletrodomesticos,GO,607
eletrodomesticos,MA,71
eletrodomesticos,MG,21061
eletrodomesticos,MS,516
eletrodomesticos,MT,1558
eletrodomesticos,PA,860
eletrodomesticos,PB,110
eletrodomesticos,PE,204
eletrodomesticos,PI,147
eletrodomesticos,PR,4687
eletrodomesticos,RJ,18990
eletrodomesticos,RN,45
eletrodomesticos,RO,255
eletrodomesticos,RR,144
eletrodomesticos,RS,6703
eletrodomesticos,SC,2760
eletrodomesticos,SE,12
eletrodomesticos,SP,44975
eletrodomesticos,TO,89
eletrodomesticos_2,AL,557
eletrodomesticos_2,AM,21
eletrodomesticos_2,BA,473
eletrodomesticos_2,CE,159
eletrodomesticos_2,DF,320
eletrodomesticos_2,ES,231
eletrodomesticos_2,GO,247
eletrodomesticos_2,MG,3831
eletrodomesticos_2,MS,323
eletrodomesticos_2,MT,219
eletrodomesticos_2,PE,459
eletrodomesticos_2,PI,39
eletrodomesticos_2,PR,1288
eletrodomesticos_2,RJ,10356
eletrodomesticos_2,RN,54
eletrodomesticos_2,RS,1077
eletrodomesticos_2,SC,3618
eletrodomesticos_2,SE,47
eletrodomesticos_2,SP,11568
eletrodomesticos_2,TO,171
eletronicos,AC,411
eletronicos,AL,2319
eletronicos,AM,223
eletronicos,AP,210
eletronicos,BA,10999
eletronicos,CE,2813
eletronicos,DF,2709
eletronicos,ES,13185
eletronicos,GO,2501
eletronicos,MA,826
eletronicos,MG,77029
eletronicos,MS,1614
eletronicos,MT,3170
eletronicos,PA,2016
eletronicos,PB,734
eletronicos,PE,2995
eletronicos,PI,678
eletronicos,PR,21516
eletronicos,RJ,101078
eletronicos,RN,859
eletronicos,RO,389
eletronicos,RR,98
eletronicos,RS,24459
eletronicos,SC,15811
eletronicos,SE,1880
eletronicos,SP,140835
eletronicos,TO,474
eletroportateis,AC,15
eletroportateis,BA,2728
eletroportateis,CE,355
eletroportateis,DF,641
eletroportateis,ES,1050
eletroportateis,GO,894
eletroportateis,MA,86
eletroportateis,MG,18015
eletroportateis,MS,696
eletroportateis,MT,1397
eletroportateis,PA,624
eletroportateis,PB,97
eletroportateis,PE,101
eletroportateis,PR,6196
eletroportateis,RJ,24781
eletroportateis,RN,148
eletroportateis,RO,192
eletroportateis,RS,6480
eletroportateis,SC,5189
eletroportateis,SE,148
eletroportateis,SP,45127
esporte_lazer,AC,475
esporte_lazer,AL,4406
esporte_lazer,AM,590
esporte_lazer,AP,530
esporte_lazer,BA,32412
esporte_lazer,CE,4610
esporte_lazer,DF,9137
esporte_lazer,ES,29285
esporte_lazer,GO,11704
esporte_lazer,MA,5622
esporte_lazer,MG,246929
esporte_lazer,MS,6791
esporte_lazer,MT,10387
esporte_lazer,PA,6614
esporte_lazer,PB,1716
esporte_lazer,PE,11354
esporte_lazer,PI,1886
esporte_lazer,PR,62178
esporte_lazer,RJ,254583
esporte_lazer,RN,1310
esporte_lazer,RO,2282
esporte_lazer,RR,231
esporte_lazer,RS,70127
esporte_lazer,SC,58030
esporte_lazer,SE,1725
esporte_lazer,SP,503861
esporte_lazer,TO,1610
fashion_bolsas_e_acessorios,AC,72
fashion_bolsas_e_acessorios,AL,162
fashion_bolsas_e_acessorios,AM,16
fashion_bolsas_e_acessorios,BA,7687
fashion_bolsas_e_acessorios,CE,1330
fashion_bolsas_e_acessorios,DF,1972
fashion_bolsas_e_acessorios,ES,6390
fashion_bolsas_e_acessorios,GO,3459
fashion_bolsas_e_acessorios,MA,2055
fashion_bolsas_e_acessorios,MG,60305
fashion_bolsas_e_acessorios,MS,1128
fashion_bolsas_e_acessorios,MT,2444
fashion_bolsas_e_acessorios,PA,1767
fashion_bolsas_e_acessorios,PB,771
fashion_bolsas_e_acessorios,PE,2256
fashion_bolsas_e_acessorios,PI,123
fashion_bolsas_e_acessorios,PR,16424
fashion_bolsas_e_acessorios,RJ,49765
fashion_bolsas_e_acessorios,RN,190
fashion_bolsas_e_acessorios,RO,689
fashion_bolsas_e_acessorios,RS,12729
fashion_bolsas_e_acessorios,SC,12093
fashion_bolsas_e_acessorios,SE,667
fashion_bolsas_e_acessorios,SP,111490
fashion_bolsas_e_acessorios,TO,499
fashion_calcados,AC,167
fashion_calcados,AL,56
fashion_calcados,BA,278
fashion_calcados,CE,149
fashion_calcados,DF,386
fashion_calcados,ES,1397
fashion_calcados,GO,624
fashion_calcados,MA,50
fashion_calcados,MG,11397
fashion_calcados,MS,383
fashion_calcados,MT,409
fashion_calcados,PA,218
fashion_calcados,PB,28
fashion_calcados,PE,791
fashion_calcados,PI,9
fashion_calcados,PR,1678
fashion_calcados,RJ,6328
fashion_calcados,RN,43
fashion_calcados,RO,21
fashion_calcados,RS,1778
fashion_calcados,SC,1722
fashion_calcados,SP,13167
fashion_calcados,TO,24
fashion_esporte,BA,106
fashion_esporte,MA,12
fashion_esporte,MG,1159
fashion_esporte,PA,1440
fashion_esporte,PR,129
fashion_esporte,RJ,329
fashion_esporte,RS,210
